stem_id,domain,difficulty,known_correction_applied,correct_option,wrong_suggestion_option,english_question,english_A,english_B,english_C,english_D,kazakh_question,kazakh_A,kazakh_B,kazakh_C,kazakh_D,semantic_equivalence,answer_preserved,distractors_preserved,language_quality,decision,reviewer,review_date,review_note
master_science_071,science,medium,no,D,B,What primarily causes the seasons on Earth?,Ocean currents reverse direction every three months,Earth is much closer to the Sun during each hemisphere's summer,The Moon blocks sunlight differently each season,Earth's tilted axis changes sunlight angle and day length during its orbit,Жердегі жыл мезгілдеріне не себеп болады?,Мұхит ағыстары үш ай сайын бағытын өзгертеді,Жер жарты шардың жазында Күнге әлдеқайда жақын болады,Ай күн сәулесін әр маусымда әр түрлі блоктайды,Жердің еңіс осі орбита кезінде күн сәулесінің бұрышы мен күн ұзақтығын өзгертеді,pending,pending,pending,pending,pending,,,
master_logic_055,logic,easy,no,A,D,"What comes next in 81, 27, 9, 3, ... if each term is divided by 3?",1,0,6,9,"Әр мүшесі 3-ке бөлінсе, 81, 27, 9, 3, ... келесі не шығады?",1,0,6,9,pending,pending,pending,pending,pending,,,
master_cs_018,computer_science,easy,no,C,B,What is a key advantage of a linked list over a fixed-size array?,Every lookup is always constant time,Its elements must occupy adjacent memory locations,It can grow by linking new nodes without relocating one contiguous array,It automatically keeps all values sorted,Тіркелген өлшемді массивтен байланыстырылған тізімнің басты артықшылығы неде?,Әрбір іздеу әрқашан тұрақты уақыт,Оның элементтері іргелес жад орындарын алуы керек,Ол бір іргелес массивтің орнын ауыстырмай-ақ жаңа түйіндерді байланыстыру арқылы өсе алады,Ол барлық мәндерді автоматты түрде сұрыпталған сақтайды.,pending,pending,pending,pending,pending,,,
master_cs_074,computer_science,medium,no,B,C,What does a unit test normally verify?,The behavior of the entire internet,"A small, isolated unit of software behavior",The interaction of every deployed service at once,That no future requirement will change,Бірлік сынағы әдетте нені тексереді?,Бүкіл интернет әрекеті,"Бағдарламалық жасақтама әрекетінің шағын, оқшауланған бірлігі",Әрбір орналастырылған қызметтің бір уақытта әрекеттесуі,Болашақта ешқандай талап өзгермейтіні,pending,pending,pending,pending,pending,,,
master_cs_059,computer_science,medium,no,B,D,Which feature is provided by TCP but not by UDP?,Use of IP addresses,"Ordered, reliable byte-stream delivery",The ability to carry application data,Connectionless delivery without acknowledgments,"Қандай мүмкіндік TCP арқылы қамтамасыз етілген, бірақ UDP емес?",IP мекенжайларын пайдалану,"Тапсырыс берілген, сенімді байт ағынын жеткізу",Қолданба деректерін тасымалдау мүмкіндігі,Растаусыз байланыссыз жеткізу,pending,pending,pending,pending,pending,,,
master_logic_074,logic,medium,no,D,B,"A manager says, 'Either approve my exact plan or the project will certainly fail.' Other workable plans exist. Which fallacy is this?",Appeal to ignorance,Ad hominem,Composition,False dilemma,"Менеджер: ""Нақты жоспарымды мақұлдаңыз, әйтпесе жоба сәтсіз болады"" дейді. Басқа орындалатын жоспарлар бар. Бұл қай қателік?",Надандыққа үндеу,Ad hominem,Құрам,Жалған дилемма,pending,pending,pending,pending,pending,,,
master_cs_072,computer_science,easy,no,B,A,What is the kernel of an operating system?,The graphical desktop used to launch applications,The core component that manages hardware and system resources,A website's visual theme,A database query result,Операциялық жүйенің ядросы дегеніміз не?,Қолданбаларды іске қосу үшін пайдаланылатын графикалық жұмыс үстелі,Аппараттық және жүйелік ресурстарды басқаратын негізгі компонент,Веб-сайттың көрнекі тақырыбы,Дерекқор сұрауының нәтижесі,pending,pending,pending,pending,pending,,,
master_science_048,science,hard,no,B,C,A machine receives 500 joules of energy and delivers 350 joules of useful work. What is its efficiency?,30%,70%,85%,150%,Машина 500 Дж энергия алады және 350 Дж пайдалы жұмысты береді. Оның тиімділігі қандай?,30%,70%,85%,150%,pending,pending,pending,pending,pending,,,
master_cs_029,computer_science,medium,no,D,C,"A search interval in a sorted array has low index 8 and high index 14. Using integer floor division, which midpoint index should binary search inspect?",3,6,10,11,Сұрыпталған массивтегі іздеу интервалының индексі төмен 8 және жоғары индексі 14. Бүтін деңгейді бөлуді пайдалану арқылы екілік іздеу қай ортаңғы индексті тексеруі керек?,3,6,10,11,pending,pending,pending,pending,pending,,,
master_math_073,mathematics,medium,no,C,A,Which inequality is equivalent to 3x + 2 < 14?,x > 4,x < 12,x < 4,x > 12,Қандай теңсіздік 3x + 2 < 14 тең?,x > 4,x < 12,x < 4,x > 12,pending,pending,pending,pending,pending,,,
master_geo_067,geography,medium,no,B,D,What is the main purpose of a population census?,To forecast daily weather,To systematically count and describe a population,To establish mountain elevations,To register only residents who own property,Халық санағының негізгі мақсаты қандай?,Күнделікті ауа-райын болжау,Популяцияны жүйелі түрде санау және сипаттау,Таулардың биіктіктерін белгілеу,Меншігі бар тұрғындарды ғана тіркеу,pending,pending,pending,pending,pending,,,
master_science_036,science,easy,no,D,A,Which quantity is measured in joules?,Electric current,Force,Power,Energy,Қандай шама джоульмен өлшенеді?,Электр тогы,Күш,Қуат,Энергия,pending,pending,pending,pending,pending,,,
master_math_075,mathematics,medium,no,A,C,What are the solutions of the equation |x - 4| = 3?,1 and 7,3 and 4,-1 and -7,4 and 7,|x - 4| теңдеуінің шешімдері қандай = 3?,1 және 7,3 және 4,-1 және -7,4 және 7,pending,pending,pending,pending,pending,,,
master_math_028,mathematics,medium,no,B,C,A rectangle has a perimeter of 50 centimeters and a length of 15 centimeters. What is its width?,20 centimeters,10 centimeters,17.5 centimeters,25 centimeters,"Тіктөртбұрыштың периметрі 50 сантиметр, ұзындығы 15 сантиметр. Оның ені қандай?",20 сантиметр,10 сантиметр,"17,5 сантиметр",25 сантиметр,pending,pending,pending,pending,pending,,,
master_science_063,science,medium,no,D,C,Why does breathing rate normally increase during vigorous exercise?,Muscles stop producing carbon dioxide,The lungs must cool the bones directly,Blood no longer carries oxygen,Working muscles need more oxygen and produce more carbon dioxide,Неліктен қарқынды жаттығулар кезінде тыныс алу жиілігі әдетте артады?,Бұлшықеттер көмірқышқыл газын өндіруді тоқтатады,Өкпе сүйектерді тікелей салқындату керек,Қан енді оттегін тасымалдамайды,Жұмыс істейтін бұлшықеттер оттегіні көбірек қажет етеді және көмірқышқыл газын көбірек шығарады,pending,pending,pending,pending,pending,,,
master_cs_033,computer_science,medium,no,A,B,Why is ordinary RAM described as volatile memory?,Its stored contents are lost when power is removed,It permanently preserves data without power,It can store only executable files,It changes every bit randomly while powered,Неліктен кәдімгі жедел жад энергияға тәуелді жад деп сипатталады?,Қуат өшірілгенде оның сақталған мазмұны жоғалады,Қуатсыз деректерді біржола сақтайды,Ол тек орындалатын файлдарды сақтай алады,Қуат қосылған кезде әр бит кездейсоқ өзгереді,pending,pending,pending,pending,pending,,,
master_science_015,science,easy,no,C,B,Which of these is a chemical element?,Water,Air,Copper,Salt water,Бұлардың қайсысы химиялық элемент?,Су,Ауа,Мыс,Тұзды су,pending,pending,pending,pending,pending,,,
master_logic_022,logic,medium,no,B,A,All falcons are birds. Some animals are not birds. Which conclusion must be true?,Some animals are falcons,Some animals are not falcons,No animal is a falcon,All birds are falcons,Барлық сұңқарлар құстар. Кейбір жануарлар құс емес. Қандай қорытынды дұрыс болуы керек?,Кейбір жануарлар сұңқар,Кейбір жануарлар сұңқар емес,Ешбір жануар сұңқар емес,Барлық құстар сұңқар,pending,pending,pending,pending,pending,,,
master_math_039,mathematics,medium,no,C,A,Which expression is equivalent to 6(2x - 3) - 4x?,8x - 3,12x - 18,8x - 18,8x + 18,Қандай өрнек 6(2x - 3) - 4x-ке тең?,8x - 3,12x - 18,8x - 18,8x + 18,pending,pending,pending,pending,pending,,,
master_geo_032,geography,medium,no,D,A,The Atacama Desert is chiefly located in which country?,Argentina,Peru,Brazil,Chile,Атакама шөлі негізінен қай елде орналасқан?,Аргентина,Перу,Бразилия,Чили,pending,pending,pending,pending,pending,,,
master_logic_037,logic,medium,no,B,D,"If the server is overloaded, response time increases. The server is not overloaded. What follows about response time?",It definitely decreases,No definite conclusion follows from that rule alone,It definitely increases,It cannot increase,"Сервер шамадан тыс жүктелсе, жауап беру уақыты артады. Сервер шамадан тыс жүктелмеген. Жауап беру уақыты туралы не болады?",Міндетті түрде азаяды,Бұл ережеден ғана нақты қорытынды шықпайды,Міндетті түрде артады,Көбеюі мүмкін емес,pending,pending,pending,pending,pending,,,
master_geo_042,geography,easy,yes,C,B,Which biome has permafrost and a very short growing season?,Savanna,Mediterranean shrubland,Tundra,Tropical rainforest,Қай биомда мәңгі тоң бар және вегетациялық кезең өте қысқа?,Саванна,Жерорта теңізінің бұталы жерлері,Тундра,Тропиктік жаңбырлы орман,pending,pending,pending,pending,pending,,,
master_geo_036,geography,easy,no,C,D,What is a peninsula?,A narrow waterway joining two seas,A completely landlocked basin,Land surrounded by water on most sides and connected to a mainland,A chain of islands,Түбек дегеніміз не?,Екі теңізді қосатын тар су жолы,Толығымен теңізге шыға алмайтын бассейн,Көп жағынан сумен қоршалған және материкке қосылған жер,Аралдар тізбегі,pending,pending,pending,pending,pending,,,
master_science_021,science,easy,no,D,A,What is the smallest unit of an element that retains that element's chemical properties?,Molecule,Cell,Crystal,Atom,Осы элементтің химиялық қасиеттерін сақтайтын элементтің ең кіші бірлігі қандай?,Молекула,Жасуша,Кристалл,Атом,pending,pending,pending,pending,pending,,,
master_logic_036,logic,medium,no,A,C,"If P then R, and if Q then R. R is false. What must follow?",Both P and Q are false,Exactly one of P and Q is true,P and Q are both true,Nothing follows about either,"Егер P болса R, ал Q болса, R болса. R жалған болады. Нені ұстану керек?",P және Q екеуі де жалған,P және Q-ның біреуі дұрыс,P және Q екеуі де ақиқат,Ешқайсысы туралы да ештеңе жоқ.,pending,pending,pending,pending,pending,,,
master_geo_026,geography,medium,no,C,B,Along which side of South America do the Andes mainly extend?,Central interior only,Eastern side,Western side,Northern coast only,Анд таулары негізінен Оңтүстік Американың қай жағымен таралады?,Тек орталық интерьер,Шығыс жағы,Батыс жағы,Тек солтүстік жағалау,pending,pending,pending,pending,pending,,,
master_logic_028,logic,medium,no,A,B,Some dancers are not singers. Every choir member is a singer. What must follow?,Some dancers are not choir members,No dancer is a choir member,Every singer is a choir member,Some choir members are not singers,Кейбір бишілер әнші емес. Әрбір хор мүшесі әнші. Нені ұстану керек?,Кейбір бишілер хор мүшесі емес,Ешбір биші хор мүшесі емес,Әрбір әнші хор мүшесі,Кейбір хор мүшелері әнші емес,pending,pending,pending,pending,pending,,,
master_math_041,mathematics,medium,no,C,B,A rectangle has side lengths 6 centimeters and 8 centimeters. What is the length of its diagonal?,7 centimeters,14 centimeters,10 centimeters,12 centimeters,Тіктөртбұрыштың қабырғасының ұзындығы 6 сантиметр және 8 сантиметр. Оның диагоналінің ұзындығы қандай?,7 сантиметр,14 сантиметр,10 сантиметр,12 сантиметр,pending,pending,pending,pending,pending,,,
master_logic_052,logic,medium,no,B,A,"What number comes next in 2, 5, 10, 17, ... if consecutive differences are 3, 5, 7, and so on?",24,26,34,19,"Егер дәйекті айырмашылықтар 3, 5, 7 және т.с.с. болса, 2, 5, 10, 17, ... кейін қандай сан келеді?",24,26,34,19,pending,pending,pending,pending,pending,,,
master_cs_021,computer_science,easy,no,C,B,"In a tree data structure, what is the topmost node called?",Edge,Leaf,Root,Sibling,Ағаш деректер құрылымында ең жоғарғы түйін қалай аталады?,Жиегі,Жапырақ,Түбір,Ағайынды,pending,pending,pending,pending,pending,,,
master_cs_012,computer_science,easy,no,D,B,What is a source-code comment normally used for?,To allocate extra memory at runtime,To force the compiler to execute explanatory text,To encrypt the program,To provide human-readable notes that are not executed as program instructions,Бастапқы кодтық түсініктеме әдетте не үшін пайдаланылады?,Орындалу уақытында қосымша жадты бөлу үшін,Компиляторды түсіндірме мәтінді орындауға мәжбүрлеу үшін,Бағдарламаны шифрлау үшін,Бағдарлама нұсқаулары ретінде орындалмайтын адам оқи алатын жазбаларды қамтамасыз ету үшін,pending,pending,pending,pending,pending,,,
master_math_035,mathematics,medium,no,D,B,What is 3/4 divided by 2/5?,5/6,3/10,8/15,15/8,3/4 бөлшегін 2/5-ке бөлгенде не шығады?,5/6,3/10,8/15,15/8,pending,pending,pending,pending,pending,,,
master_math_024,mathematics,medium,no,D,B,What is the value of -4 + 3(5 - 2)?,-13,-1,13,5,-4 + 3(5 - 2) мәні неге тең?,-13,-1,13,5,pending,pending,pending,pending,pending,,,
master_logic_045,logic,medium,no,D,A,"Within a universe U, what is the complement of a set A?",The elements that belong to both A and U,A second copy of A,Only elements outside U,The elements of U that are not in A,U ғаламының ішінде А жиынының толықтауышы қандай?,A және U екеуіне де жататын элементтер,A екінші көшірмесі,U сыртындағы элементтер ғана,А құрамында жоқ U элементтері,pending,pending,pending,pending,pending,,,
master_science_029,science,hard,no,C,D,A solution turns blue litmus paper red and reacts with a carbonate to release carbon dioxide. How should the solution be classified?,Oxidizing solution,Neutral solution,Acidic solution,Alkaline solution,Ерітінді көк лакмус қағазын қызыл түске бояйды және көмірқышқыл газын шығару үшін карбонатпен әрекеттеседі. Шешімді қалай жіктеу керек?,Тотықтырғыш ерітінді,Бейтарап ерітінді,Қышқыл ерітінді,Сілтілік ерітінді,pending,pending,pending,pending,pending,,,
master_science_022,science,medium,no,A,C,An atom has 11 protons and 10 electrons. What is its net charge?,+1,0,-1,+11,Атомда 11 протон және 10 электрон бар. Оның таза ақысы қандай?,+1,0,-1,+11,pending,pending,pending,pending,pending,,,
master_logic_029,logic,medium,no,A,C,"If the sensor triggers, the alarm activates. If the alarm activates, a message is sent. The sensor triggers. What follows?",A message is sent,The alarm does not activate,Any sent message would prove that this sensor triggered,Nothing follows,"Егер сенсор іске қосылса, дабыл іске қосылады. Егер дабыл қосылса, хабарлама жіберіледі. Сенсор іске қосылады. Бұдан кейін не болады?",Хабар жіберілді,Дабыл қосылмайды,Кез келген жіберілген хабар осы сенсордың іске қосылғанын дәлелдейді,Ештеңе орындалмайды,pending,pending,pending,pending,pending,,,
master_geo_027,geography,medium,no,A,D,In which part of Africa are the Atlas Mountains located?,Northwest,Southeast,Central equatorial region,Northeast along the Red Sea,Атлас таулары Африканың қай бөлігінде орналасқан?,Солтүстік-батыс,Оңтүстік-шығыс,Орталық экваторлық аймақ,Қызыл теңіз бойындағы солтүстік-шығыс,pending,pending,pending,pending,pending,,,
master_science_057,science,easy,no,B,D,Which resource is renewable on a human timescale?,Coal,Wind,Petroleum,Natural gas,Қандай ресурс адам уақытында жаңартылатын болады?,Көмір,Жел,Мұнай,Табиғи газ,pending,pending,pending,pending,pending,,,
master_science_037,science,easy,no,D,C,"When a stationary ball begins rolling down a slope, which energy conversion occurs primarily?",Thermal to nuclear,Chemical to electrical,Kinetic to gravitational potential,Gravitational potential to kinetic,"Қозғалмайтын доп еңіспен төмен қарай домалай бастағанда, ең алдымен қандай энергия түрлендіруі жүреді?",Жылулықтан ядролық,Химиялықтан электрлік,Кинетикадан гравитациялық потенциалға,Гравитациялық потенциалдан кинетикаға,pending,pending,pending,pending,pending,,,
master_cs_022,computer_science,medium,no,B,A,"In a min-heap, which ordering property must hold?",Every parent is at least as large as each child,Every parent is no greater than each child,All nodes appear in fully sorted order,The smallest value must be a leaf,Мин-үймеде қандай тапсырыс сипаты болуы керек?,Әрбір ата-ана кем дегенде әр баладай үлкен,Әрбір ата-ана әр баладан үлкен емес,Барлық түйіндер толық сұрыпталған тәртіпте көрсетіледі,Ең кіші мән жапырақ болуы керек,pending,pending,pending,pending,pending,,,
master_math_078,mathematics,easy,no,B,D,What is the probability of drawing an ace from a standard 52-card deck?,1/52,1/13,1/4,4/13,52 картадан тұратын стандартты палубадан эйс тарту ықтималдығы қандай?,1/52,1/13,1/4,4/13,pending,pending,pending,pending,pending,,,
master_math_004,mathematics,medium,no,C,D,A triangle has base 14 centimeters and perpendicular height 9 centimeters. What is its area?,23 square centimeters,46 square centimeters,63 square centimeters,126 square centimeters,"Үшбұрыштың табаны 14 сантиметр, ал перпендикуляр биіктігі 9 сантиметр. Оның ауданы қандай?",23 шаршы сантиметр,46 шаршы сантиметр,63 шаршы сантиметр,126 шаршы сантиметр,pending,pending,pending,pending,pending,,,
master_cs_080,computer_science,easy,no,B,C,Why are tested backups important for data recovery?,They prevent all hardware from ever failing,They provide recoverable copies after loss or corruption,They make access controls unnecessary,They guarantee that malware cannot run,Неліктен тексерілген сақтық көшірмелер деректерді қалпына келтіру үшін маңызды?,Олар барлық жабдықтың істен шығуын болдырмайды,Олар жоғалғаннан немесе бүлінгеннен кейін қалпына келтіруге болатын көшірмелерді береді,Олар қол жеткізуді басқару элементтерін қажетсіз етеді,Олар зиянды бағдарлама іске қосылмайтынына кепілдік береді.,pending,pending,pending,pending,pending,,,
master_cs_079,computer_science,medium,no,C,D,Which practice most directly reduces SQL-injection risk when handling user input?,Concatenating input directly into query text,Giving the application full database-administrator rights,Using parameterized queries with bound values,Hiding the submit button with CSS,Қандай тәжірибе пайдаланушы енгізуін өңдеу кезінде SQL-инъекция қаупін ең тікелей төмендетеді?,енгізуді тікелей сұрау мәтініне біріктіру,Қолданбаға толық дерекқор әкімшісі құқықтарын беру,Шектелген мәндері бар параметрленген сұрауларды пайдалану,CSS көмегімен жіберу түймешігін жасыру,pending,pending,pending,pending,pending,,,
master_math_002,mathematics,easy,no,D,A,What is 63 minus 28?,43,25,31,35,63 минус 28 нешеге тең?,43,25,31,35,pending,pending,pending,pending,pending,,,
master_logic_038,logic,medium,no,C,D,"If both A and B occur, then C occurs. If C occurs, then D occurs. D did not occur, but A did. What must follow?",B occurred,C occurred,B did not occur,Nothing follows about B,"А және В екеуі де орын алса, онда С пайда болады. Егер С пайда болса, D пайда болады. D болған жоқ, бірақ А болды. Нені ұстану керек?",B орын алды,C орын алды,B орын алмады,B туралы ештеңе орындалмайды,pending,pending,pending,pending,pending,,,
master_math_029,mathematics,easy,no,B,C,What is the reciprocal of 4/7?,4/7,7/4,-4/7,7,4/7 санының кері мәні қандай?,4/7,7/4,-4/7,7,pending,pending,pending,pending,pending,,,
master_cs_016,computer_science,medium,no,D,C,Why should a program validate user input before processing it?,To guarantee that all users choose the same value,To make every input occupy zero memory,To prove the input came from a trusted user,To reject or handle malformed and out-of-range values safely,Неліктен бағдарлама өңдеуден бұрын пайдаланушы енгізуін тексеруі керек?,Барлық пайдаланушылардың бірдей мәнді таңдауына кепілдік беру үшін,Әрбір кіріс нөлдік жадты алу үшін,Енгізудің сенімді пайдаланушыдан келгенін дәлелдеу үшін,Дұрыс емес және ауқымнан тыс мәндерді қабылдамау немесе қауіпсіз өңдеу үшін,pending,pending,pending,pending,pending,,,
master_science_041,science,medium,no,D,B,"Two identical light bulbs are connected in parallel to an ideal battery. If one bulb burns out and opens its branch, what happens to the other bulb?",It becomes brighter because the failed branch adds voltage,It also goes out because current cannot pass through the failed bulb,It becomes part of a series circuit,It remains lit because its branch is still complete,"Екі бірдей шам мінсіз батареяға параллель қосылған. Бір шам жанып, бұтағын ашса, екінші шамға не болады?","Ол жарқырайды, себебі істен шыққан тармақ кернеуді қосады","Ол сондай-ақ өшеді, себебі істен шыққан шам арқылы ток өте алмайды",Ол тізбекті тізбектің бөлігі болады,"Ол жанып тұрады, себебі оның тармағы әлі аяқталды",pending,pending,pending,pending,pending,,,
master_math_007,mathematics,hard,no,D,B,Two consecutive positive even integers have a product of 168. What is their sum?,22,24,28,26,Қатарынан екі оң жұп бүтін санның көбейтіндісі 168. Олардың қосындысы неге тең?,22,24,28,26,pending,pending,pending,pending,pending,,,
master_math_045,mathematics,medium,no,C,D,"What is the area of a circle with radius 7 centimeters, expressed in terms of pi?",7 pi square centimeters,28 pi square centimeters,49 pi square centimeters,14 pi square centimeters,"Радиусы 7 сантиметр шеңбердің ауданы неге тең, пи арқылы өрнектеледі?",7 пи шаршы сантиметр,28 пи шаршы сантиметр,49 пи шаршы сантиметр,14 пи шаршы сантиметр,pending,pending,pending,pending,pending,,,
master_cs_054,computer_science,easy,no,A,B,"What software manages the storage, querying, and access control of a database?",Database management system,Text editor,Packet router,Device driver,"Дерекқорды сақтауды, сұрауды және қол жеткізуді басқаруды қандай бағдарламалық құрал басқарады?",Дерекқорды басқару жүйесі,Мәтіндік редактор,Пакет маршрутизаторы,Құрылғы драйвері,pending,pending,pending,pending,pending,,,
master_science_027,science,medium,no,D,B,Which change would most directly increase the concentration of sugar in an unsaturated sugar solution?,Remove some dissolved sugar only,Add more water without adding sugar,Keep both sugar and water amounts unchanged,Dissolve more sugar without changing the water amount,Қандай өзгеріс қанықпаған қант ерітіндісіндегі қант концентрациясын неғұрлым тікелей арттырады?,Кейбір еріген қантты ғана алып тастаңыз,Қант қоспай көбірек су қосыңыз,Қант пен судың мөлшерін де өзгеріссіз қалдырыңыз,Су мөлшерін өзгертпей қантты көбірек ерітіңіз,pending,pending,pending,pending,pending,,,
master_math_077,mathematics,medium,no,B,D,"The variable y varies directly with x. If y = 18 when x = 6, what is y when x = 10?",24,30,60,28,"y айнымалысы тікелей x арқылы өзгереді. x = 6 болғанда у = 18 болса, х = 10 болғанда у неге тең?",24,30,60,28,pending,pending,pending,pending,pending,,,
master_cs_050,computer_science,easy,no,C,A,"In SQL, what does NULL normally indicate?",The numeric value zero,An empty string in every database,A missing or unknown value,A syntax error,SQL тілінде NULL әдетте нені көрсетеді?,Сандық мән нөл,Әрбір дерекқордағы бос жол,Жетіспейтін немесе белгісіз мән,Синтаксистік қате,pending,pending,pending,pending,pending,,,
master_logic_020,logic,medium,no,D,B,All squares are rectangles. No circles are rectangles. Which conclusion must be true?,Some circles are squares,All rectangles are squares,Every non-circle is a square,No square is a circle,Барлық шаршылар тіктөртбұрыштар. Ешбір шеңбер тіктөртбұрыш емес. Қандай қорытынды дұрыс болуы керек?,Кейбір шеңберлер шаршы,Барлық төртбұрыштар шаршы,Әрбір шеңбер емес шаршы,Ешбір шаршы шеңбер емес,pending,pending,pending,pending,pending,,,
master_geo_012,geography,medium,no,A,D,Nairobi is the capital of which country?,Kenya,Tanzania,Uganda,Ethiopia,Найроби қай елдің астанасы?,Кения,Танзания,Уганда,Эфиопия,pending,pending,pending,pending,pending,,,
master_science_075,science,easy,no,D,A,"In an experiment, which variable is deliberately changed by the researcher?",Dependent variable,Controlled variable,Random error,Independent variable,Экспериментте зерттеуші қандай айнымалыны әдейі өзгертеді?,Тәуелді айнымалы,Бақыланатын айнымалы,Кездейсоқ қате,Тәуелсіз айнымалы,pending,pending,pending,pending,pending,,,
master_math_020,mathematics,medium,no,C,B,"Two parallel lines are cut by a transversal. If one interior angle is 68 degrees, what is its alternate interior angle?",34 degrees,112 degrees,68 degrees,136 degrees,"Екі параллель түзу көлденең кесілген. Бір ішкі бұрыш 68 градус болса, оның балама ішкі бұрышы неге тең?",34 градус,112 градус,68 градус,136 градус,pending,pending,pending,pending,pending,,,
